"ets","arima","rw","rwd","wn","theta","nn"
10.3190290912472,10.5276121006818,13.5242826397735,10.5276121006818,24.8061912711852,12.088374576344,11.7377458070251
7.704408753674,5.71386708851938,7.78949004975124,5.22596452199889,15.8975329998139,6.22546309617392,6.70075717942604
8.09141559282834,8.63359042679514,11.5563254032428,8.44010519054348,22.8918822711446,9.95274247079467,10.7852769659734
3.55921825749973,2.94027817555973,3.81591369010745,2.05937594899917,10.0944930789446,3.36349569977456,5.61344769144808
10.2097934363253,10.1270472057362,13.1853523332336,11.8011284205911,21.4427718502449,11.956701589196,12.0601386969571
3.59967846745802,5.54339312034753,7.77078553479733,5.69921169183706,16.0030463320139,6.78341299941392,7.92588092845882
11.100592888609,7.60049192259828,11.1004919225731,7.60049192259828,16.5928400523941,9.34021188204303,10.6301116250349
10.3432493207429,6.84308990257186,10.3430899025657,6.84308990257186,14.8952446592677,8.79915448370757,3.22753784109107
9.25760811056931,5.86529330987009,9.25748693218898,5.86529330987009,13.8348734546975,7.59362094416486,8.63014551339297
1.63301649734156,1.2379326716503,0.875314299218012,1.2379326716503,6.09115257368738,0.821424994525249,1.31095880645711
4.52700282434099,3.40072567667919,2.54596399535424,2.18218157181572,13.5307989049278,1.98233448220382,1.90898198222579
4.57608591580504,3.92372788998005,13.8754909709147,10.4707713343032,32.1284363696574,12.3532646875219,4.55434244140906
9.4704158153678,8.49703093937147,10.3081214408688,8.6474142497732,32.4193245418335,9.51882988836907,10.2306801762304
1.96868733689895,4.36913758495611,2.29121427930277,4.36913758495611,8.07686340395737,3.40095408509874,2.26409211102002
9.08427658849352,7.34633344863366,9.08422691110342,6.25735039778589,15.0274991352473,7.47010306473019,8.86338092423628
1.11067632963463,1.20990668596883,2.42509350328727,1.20990668596883,12.6831911972575,0.656189153433438,0.640704566497243
2.53579066713836,2.54683125958981,2.54683125958981,1.61439275160725,5.33869298516233,2.1537058536948,3.41324228667438
4.9089982921428,4.25524677456048,5.06236485830057,3.05763237330963,12.3469438406883,4.07341543645549,7.69191532965716
5.89014663579725,6.05683571016418,8.14612777386967,6.05683571016418,13.3595854764493,7.04077551475662,8.06369104162771
1.20003498152546,1.19998236378461,1.19998236378461,2.2359992378319,1.59169487333185,1.78405158859094,1.47728845225309
2.83506355848207,3.31794454466337,2.83504399185336,1.08860814663951,7.28686915243616,1.79704235115921,2.81816206532652
1.16753610807517,1.47552379888551,2.09970566593083,1.47552379888551,8.3062028692039,0.456298401300133,0.336482636634136
2.67867099773509,2.83313759610995,5.83124933664087,8.14812519288449,3.92540967099565,7.02841505425698,7.17717193187948
1.80141437713646,1.80107202915528,0.883930287648054,1.5957746194083,1.80107202915528,0.87062973399532,1.58968950174917
0.696006893052489,2.19130032220505,0.20182444076222,0.416988318161768,2.61004397830835,0.338972504226935,0.868587765006059
1.0896916454555,1.27865397300277,1.0896916454555,1.15436876835621,1.89257808452865,1.1566557934868,1.39896165082242
1.21865607400915,1.59902131428188,1.23726445788341,1.25614119710102,1.80765642922824,1.19286887527751,1.34797076291603
1.274046162325,1.21864476386037,1.38596090957487,1.406779983272,1.21864476386037,1.26649487899699,1.22684264144888
1.57730115294408,1.57735714285714,1.57735714285714,0.53540100250451,3.73088095238095,1.11790999559308,1.71573831281427
1.34961897273891,1.36239731543624,1.36239731543624,0.919239373601182,1.81680195241001,1.03135692290483,1.01276919795494
2.95328268913639,2.74727838427948,2.74727838427948,2.42522598251192,2.63421268360461,3.2005197082808,2.85314934347872
1.33645073411198,1.93192037037037,1.93192037037037,1.48469814815786,2.39104735449735,1.08765947569121,2.8019899687023
1.81446336344892,1.81862166627331,3.42476280387066,1.81862166627331,13.6396818074538,2.44133985212935,1.92080554912639
